CO2_unit,CO2_value,Consumption_unit,Consumption_value,Engine_Load_unit,Engine_Load_value,GPS_Accuracy_unit,GPS_Accuracy_value,GPS_Altitude_unit,GPS_Altitude_value,GPS_Bearing_unit,GPS_Bearing_value,GPS_HDOP_unit,GPS_HDOP_value,GPS_PDOP_unit,GPS_PDOP_value,GPS_Speed_unit,GPS_Speed_value,GPS_VDOP_unit,GPS_VDOP_value,Intake_Pressure_unit,Intake_Pressure_value,Intake_Temperature_unit,Intake_Temperature_value,MAF_unit,MAF_value,O2_Lambda_Voltage_ER_unit,O2_Lambda_Voltage_ER_value,O2_Lambda_Voltage_unit,O2_Lambda_Voltage_value,Rpm_unit,Rpm_value,Speed_unit,Speed_value,Throttle_Position_unit,Throttle_Position_value,coordinates,id,properties_constructionYear,properties_engineDisplacement,properties_fuelType,properties_id,properties_manufacturer,properties_model,time,track,type
kg/h,48.5328393087,l/h,20.6522720462,%,88.7861891657,%,11.9999996424,m,90.78701973,deg,357.277737579,precision,1.16266133487,precision,1.46266132593,km/h,88.924200785,precision,0.962661340833,kPa,99.0,c,27.0000008047,l/s,62.8259325873,ratio,0.968934888573,V,1.36296770652,u/min,3203.39990434,km/h,94.75,%,64.9999990314,"[6.491915945266466, 51.22268933208982]",579634f9e4b086b281bf937f,2004,2200,gasoline,5750591ee4b09078f98673d8,Opel,Vectra C Caravan,2012-01-01T00:09:25Z,579634f9e4b086b281bf935c,Point
kg/h,44.1633146698,l/h,18.7928998595,%,86.3308082055,%,10.801223278,m,92.665054651,deg,354.993037516,precision,1.0,precision,1.3,km/h,99.4888940327,precision,0.9,kPa,99.0,c,26.9999997988,l/s,57.1695674476,ratio,1.01307106204,V,1.50890497491,u/min,2858.37847129,km/h,102.175936043,%,52.9921252728,"[6.491795184156155, 51.22394144196073]",579634f9e4b086b281bf9380,2004,2200,gasoline,5750591ee4b09078f98673d8,Opel,Vectra C Caravan,2012-01-01T00:09:29Z,579634f9e4b086b281bf935c,Point
kg/h,39.9942631537,l/h,17.0188353846,%,80.1401136912,%,8.00000023842,m,93.363133485,deg,350.084087657,precision,0.999999970198,precision,1.29999996126,km/h,108.970365768,precision,0.799999976158,kPa,96.75,c,26.0971149951,l/s,51.7727154761,ratio,0.989986419299,V,1.43448000454,u/min,3087.43987948,km/h,110.041872531,%,25.9246376753,"[6.491497210268781, 51.22526220083067]",579634f9e4b086b281bf9381,2004,2200,gasoline,5750591ee4b09078f98673d8,Opel,Vectra C Caravan,2012-01-01T00:09:35Z,579634f9e4b086b281bf935c,Point
kg/h,29.0487631446,l/h,12.3611758062,%,59.3544459775,%,8.0,m,94.8643847719,deg,345.949585362,precision,0.8,precision,1.2,km/h,114.774360754,precision,0.8,kPa,72.6503027976,c,26.9364100546,l/s,37.6037269004,ratio,0.95361328125,V,1.29150390625,u/min,3287.35723642,km/h,118.0,%,16.4105156064,"[6.491004235075925, 51.22665529506301]",579634f9e4b086b281bf9382,2004,2200,gasoline,5750591ee4b09078f98673d8,Opel,Vectra C Caravan,2012-01-01T00:09:40Z,579634f9e4b086b281bf935c,Point
kg/h,29.0805748485,l/h,12.3747127015,%,48.7416812868,%,6.0,m,93.7732864491,deg,342.608043812,precision,0.800000023842,precision,1.20000003576,km/h,117.556723565,precision,0.800000023842,kPa,59.7718396783,c,25.1097208858,l/s,37.644907264,ratio,0.986565901228,V,1.44884055684,u/min,3316.10725302,km/h,117.99999728,%,16.0,"[6.490328286475425, 51.22807258571556]",579634f9e4b086b281bf9383,2004,2200,gasoline,5750591ee4b09078f98673d8,Opel,Vectra C Caravan,2012-01-01T00:09:45Z,579634f9e4b086b281bf935c,Point
kg/h,28.4046059445,l/h,12.0870663593,%,48.235294342,%,8.0,m,92.4010600071,deg,341.739808308,precision,0.9,precision,1.2,km/h,118.098240122,precision,0.8,kPa,59.139085412,c,26.0000003874,l/s,36.7698631207,ratio,1.00031992904,V,1.48098888429,u/min,3339.17811445,km/h,119.0,%,15.4122983813,"[6.489625662960671, 51.22948716599112]",579634f9e4b086b281bf9384,2004,2200,gasoline,5750591ee4b09078f98673d8,Opel,Vectra C Caravan,2012-01-01T00:09:50Z,579634f9e4b086b281bf935c,Point
kg/h,33.0576970617,l/h,14.0671051326,%,53.7254905701,%,6.00000017881,m,92.9197354304,deg,340.432156699,precision,0.800000023842,precision,1.40000004172,km/h,119.543788268,precision,1.20000003576,kPa,65.0,c,26.0000003874,l/s,42.7933060723,ratio,0.999761574087,V,1.48838173423,u/min,3397.41789781,km/h,120.999998197,%,16.9999994934,"[6.488841636795897, 51.23090156618903]",579634f9e4b086b281bf9385,2004,2200,gasoline,5750591ee4b09078f98673d8,Opel,Vectra C Caravan,2012-01-01T00:09:55Z,579634f9e4b086b281bf935c,Point
kg/h,32.3398267063,l/h,13.7616283857,%,51.1894064962,%,9.65600025654,m,92.8739709564,deg,341.59025273,precision,0.8,precision,1.5,km/h,122.763934103,precision,1.3,kPa,62.9999985918,c,25.7877504081,l/s,41.8640203516,ratio,0.995573801629,V,1.45758592844,u/min,3471.0649035,km/h,124.902819455,%,16.4404631555,"[6.488036516609194, 51.23231214465705]",579634f9e4b086b281bf9386,2004,2200,gasoline,5750591ee4b09078f98673d8,Opel,Vectra C Caravan,2012-01-01T00:10:00Z,579634f9e4b086b281bf935c,Point
kg/h,33.0079126766,l/h,14.0459202879,%,52.2356912236,%,6.0,m,92.8509614672,deg,344.838287225,precision,0.8,precision,1.36418511271,km/h,124.165035463,precision,1.07364185452,kPa,63.0889787674,c,25.0,l/s,42.7288600092,ratio,0.993211826193,V,1.47989996098,u/min,3516.772525,km/h,125.866595849,%,17.0,"[6.487361765732912, 51.23381809378536]",579634f9e4b086b281bf9387,2004,2200,gasoline,5750591ee4b09078f98673d8,Opel,Vectra C Caravan,2012-01-01T00:10:05Z,579634f9e4b086b281bf935c,Point
kg/h,30.0904383823,l/h,12.8044418648,%,47.5363198637,%,6.86190009117,m,92.0019726158,deg,348.965697732,precision,0.799999976158,precision,1.39999995828,km/h,125.036467997,precision,1.19999996424,kPa,57.9999995679,c,25.0000003725,l/s,38.9521791896,ratio,0.998005641683,V,1.45575606395,u/min,3543.93825583,km/h,126.881511748,%,16.0,"[6.486863818398702, 51.23537283487275]",579634f9e4b086b281bf9388,2004,2200,gasoline,5750591ee4b09078f98673d8,Opel,Vectra C Caravan,2012-01-01T00:10:10Z,579634f9e4b086b281bf935c,Point
kg/h,29.8357692139,l/h,12.6960720059,%,47.1274808675,%,8.0,m,91.854114078,deg,353.173061368,precision,0.800000023842,precision,1.10000003278,km/h,126.595635012,precision,0.800000023842,kPa,57.9999984875,c,25.0000007451,l/s,38.622509048,ratio,0.986918333743,V,1.46403803723,u/min,3550.85068205,km/h,127.000001892,%,15.9999995232,"[6.486502537269189, 51.236929602475534]",579634f9e4b086b281bf9389,2004,2200,gasoline,5750591ee4b09078f98673d8,Opel,Vectra C Caravan,2012-01-01T00:10:15Z,579634f9e4b086b281bf935c,Point
